,station_name,lng,lat
109,Millennium Park,-87.62408432,41.8810317
110,Milwaukee Ave & Grand Ave,-87.648384,41.891578
111,Damen Ave & Thomas St (Augusta Blvd),-87.677509665,41.90126133
112,Green St & Madison St,-87.64884533333333,41.8818555
113,State St & Van Buren St,-87.627844,41.877181
114,Clark St & Randolph St,-87.63189,41.884576
115,Canal St & Madison St,-87.639833,41.882091
116,Shore Dr & 55th St,-87.580715,41.795212
117,Damen Ave & Walnut (Lake) St,-87.677009,41.885951
118,Michigan Ave & Washington St,-87.62372066666667,41.88358466666666
119,Larrabee St & Division St,-87.643353,41.903486
120,Michigan Ave & Madison St,-87.625125,41.882134
121,Aberdeen St & Monroe St,-87.655519,41.880419
122,Orleans St & Hubbard St,-87.636618,41.890028
123,Wabash Ave & 9th St,-87.625734,41.870769
124,Clinton St & Tilden St,-87.64074233333334,41.8758725
125,Damen Ave & Wabansia Ave,-87.68,41.91
126,Western Ave & Winnebago Ave,-87.687022,41.91552
127,Wabash Ave & 16th St,-87.625813,41.860384
128,Wentworth Ave & 35th St,-87.632504,41.830777
129,Wolcott Ave & Polk St,-87.673688,41.871262
130,Wood St & Taylor St (Temp),-87.67373085021973,41.869265218438194
131,Central Park Ave & Bloomingdale Ave,-87.71673633333333,41.9141515
132,Ashland Ave & Belle Plaine Ave,-87.66895283333334,41.95609533333333
133,Albany Ave & Montrose Ave,-87.705866,41.961041
134,Damen Ave & Sunnyside Ave,-87.67929616666666,41.96326666666667
135,Calumet Ave & 35th St,-87.618034,41.831379
136,Stave St & Armitage Ave,-87.69144033333333,41.917757
137,Greenview Ave & Fullerton Ave,-87.6658245,41.92544566666667
138,Sheffield Ave & Kingsbury St,-87.653106,41.910522
139,Dorchester Ave & 49th St,-87.592464,41.805772
140,Kedzie Ave & Milwaukee Ave,-87.707857,41.929567
141,Honore St & Division St,-87.673935,41.903119
142,Sheffield Ave & Wrightwood Ave,-87.653833,41.928712
143,State St & 33rd St,-87.625813,41.834734
144,Harper Ave & 59th St,-87.5883151702,41.78794281287
145,Wilton Ave & Diversey Pkwy,-87.652705,41.932418
146,Spaulding Ave & Armitage Ave,-87.71022096276283,41.91710803478932
147,Lincoln Ave & Balmoral Ave,-87.69,41.98
148,Damen Ave & Chicago Ave,-87.67722,41.895769
149,California Ave & Cortez St,-87.69671966666667,41.90035983333333
150,Racine Ave & Washington Blvd,-87.657034,41.883093333333335
151,Leavitt St & Chicago Ave,-87.681989,41.8955005
152,Clark St & North Ave,-87.631942,41.911974
153,Sedgwick St & Schiller St,-87.63856533333333,41.907695333333336
154,Wolcott (Ravenswood) Ave & Montrose Ave,-87.676169,41.961406
155,Ogden Ave & Congress Pkwy,-87.67328,41.87501
156,Logan Blvd & Elston Ave,-87.68418466666667,41.929481333333335
157,Clark St & Drummond Pl,-87.64428033333333,41.931214
158,Blue Island Ave & 18th St,-87.661535,41.857556
159,McClurg Ct & Erie St,-87.617775202,41.894426584
160,Michigan Ave & 18th St,-87.62455,41.857813
161,Avers Ave & Belmont Ave,-87.723574,41.939408
162,Spaulding Ave & Division St,-87.709333181,41.902740955
163,Milwaukee Ave & Rockwell St,-87.69267566666667,41.920266
164,Lawndale Ave & 16th St,-87.72,41.86
165,MLK Jr Dr & Pershing Rd,-87.61678,41.8246
166,Kedzie Ave & Bryn Mawr Ave,-87.70888656377792,41.98222975911517
167,Glenwood Ave & Morse Ave,-87.665484071,42.007992864
168,Cornell Ave & Hyde Park Blvd,-87.586924,41.802406
169,Damen Ave & Leland Ave,-87.679028,41.967094
170,Western Ave & 21st St,-87.68586266666667,41.85403883333333
171,Calumet Ave & 18th St,-87.619433761,41.857624054
172,Ellis Ave & 53rd St,-87.6009581145,41.79933626261
173,Stony Island Ave & 71st St,-87.586479,41.766528
174,Delano Ct & Roosevelt Rd,-87.63219,41.867491
175,Larrabee St & Kingsbury St,-87.64319933333333,41.89754816666667
176,Aberdeen St & Jackson Blvd,-87.65478743,41.87772613
177,Paulina St & Howard St,-87.673573,42.019159
178,Eckhart Park,-87.66098386,41.89637337
179,Elston Ave & Cortland St,-87.66674637794495,41.91643342912655
180,Stony Island Ave & 67th St,-87.5853397391,41.77345849948
181,Clark St & Armitage Ave,-87.636282,41.918306
182,Sedgwick St & Webster Ave,-87.63901,41.92220916666667
183,Sheridan Rd & Irving Park Rd,-87.654406,41.954245
184,Desplaines St & Jackson Blvd,-87.64419666666667,41.87809033333333
185,Leavitt St & Belmont Ave,-87.68329833333334,41.93928016666667
186,Sheridan Rd & Lawrence Ave,-87.65468116666666,41.969490666666665
187,Theater on the Lake,-87.630834,41.926277
188,Southport Ave & Clybourn Ave,-87.663712,41.920771
189,Campbell Ave & North Ave,-87.689556,41.910535
190,State St & Chicago Ave,-87.62857854366302,41.89661720040753
191,Smith Park,-87.689415336,41.892083406
192,Larrabee St & North Ave,-87.643490434,41.910213113
193,Field Blvd & South Water St,-87.61723066666667,41.88577966666666
194,Franklin St & Lake St,-87.6355,41.885837
195,Canal St & Harrison St,-87.639575839,41.874275327
196,Cityfront Plaza Dr & Pioneer Ct,-87.622072,41.890573
197,Leavitt St & Division St,-87.683825,41.902997
198,Clarendon Ave & Junior Ter,-87.649603,41.961004
199,Milwaukee Ave & Wabansia Ave,-87.68147733333333,41.9126325
200,Shedd Aquarium,-87.615377069,41.867253184
201,Dusable Harbor,-87.612813,41.886976
202,Halsted St & Roosevelt Rd,-87.648625,41.867324
203,Southport Ave & Belmont Ave,-87.6637476682663,41.93947775040509
204,Fairbanks St & Superior St,-87.620104,41.895748
205,Western Ave & Congress Pkwy,-87.686299562,41.874601841
206,Dearborn St & Erie St,-87.629318,41.893992
207,May St & Taylor St,-87.6554864,41.8694821
208,Cottage Grove Ave & 51st St,-87.606615,41.803038
209,Hermitage Ave & Polk St,-87.6700125,41.87150016666666
210,900 W Harrison St,-87.649842381,41.874779105
211,Racine Ave & Wrightwood Ave,-87.658971,41.928887
212,South Shore Dr & 71st St,-87.5656875719,41.7664094567
213,Cottage Grove Ave & 63rd St,-87.60583609342575,41.78060094521422
214,Broadway & Sheridan Rd,-87.649993,41.952833
215,Western Ave & Walton St,-87.6865960164,41.89841768945
